trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.001, 'e': 0.9021269734815165}",30,0,-202.77364567518148,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
105,False,"{'a': 0.001, 'e': 0.9012252974212047}",20,0,-230.7531793087763,"{0: 8, 1: 0, 2: 6, 3: 3, 4: 3}",0
106,False,"{'a': 0.001, 'e': 0.9003245225862656}",20,0,-155.7250450870509,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
107,False,"{'a': 0.001, 'e': 0.899424648075924}",20,0,-128.1883104908749,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.001, 'e': 0.8985256729903055}",20,0,-187.464914106567,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
109,False,"{'a': 0.001, 'e': 0.8976275964304349}",20,0,-83.93052529989266,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
110,False,"{'a': 0.001, 'e': 0.8967304174982355}",30,0,-191.20873243092754,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
111,False,"{'a': 0.001, 'e': 0.8958341352965282}",20,0,-127.92600875487015,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
112,False,"{'a': 0.001, 'e': 0.894938748929031}",30,0,-186.251625950375,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
113,False,"{'a': 0.001, 'e': 0.8940442575003572}",30,0,-144.06633101492017,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
114,False,"{'a': 0.001, 'e': 0.8931506601160155}",30,0,-181.34441349636236,"{0: 14, 1: 3, 2: 10, 3: 2, 4: 1}",0
115,False,"{'a': 0.001, 'e': 0.8922579558824083}",25,0,-140.4254434406758,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
116,False,"{'a': 0.001, 'e': 0.8913661439068313}",25,0,-117.56941911964569,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
117,False,"{'a': 0.001, 'e': 0.8904752232974726}",25,0,-204.12220967859,"{0: 10, 1: 5, 2: 5, 3: 3, 4: 2}",0
118,False,"{'a': 0.001, 'e': 0.8895851931634113}",30,0,-260.37633720053316,"{0: 14, 1: 5, 2: 5, 3: 2, 4: 4}",0
119,False,"{'a': 0.001, 'e': 0.8886960526146174}",20,10,-61.855861828817595,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
120,False,"{'a': 0.001, 'e': 0.8878078007619501}",30,0,-223.99297683667191,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
121,False,"{'a': 0.001, 'e': 0.8869204367171575}",20,0,-191.92979206323244,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
